ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,String/1/Message,String/1/_value,String/1/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,SourceLine/8/Message,SourceLine/8/_classname,SourceLine/8/_start,SourceLine/8/_end,SourceLine/8/_startBytecode,SourceLine/8/_endBytecode,SourceLine/8/_sourcefile,SourceLine/8/_sourcepath,SourceLine/8/_relSourcepath,SourceLine/9/Message,SourceLine/9/_classname,SourceLine/9/_start,SourceLine/9/_end,SourceLine/9/_startBytecode,SourceLine/9/_endBytecode,SourceLine/9/_sourcefile,SourceLine/9/_sourcepath,SourceLine/9/_relSourcepath,SourceLine/10/Message,SourceLine/10/_classname,SourceLine/10/_start,SourceLine/10/_end,SourceLine/10/_startBytecode,SourceLine/10/_endBytecode,SourceLine/10/_sourcefile,SourceLine/10/_sourcepath,SourceLine/10/_relSourcepath,SourceLine/11/Message,SourceLine/11/_classname,SourceLine/11/_start,SourceLine/11/_end,SourceLine/11/_startBytecode,SourceLine/11/_endBytecode,SourceLine/11/_sourcefile,SourceLine/11/_sourcepath,SourceLine/11/_relSourcepath,SourceLine/12/Message,SourceLine/12/_classname,SourceLine/12/_start,SourceLine/12/_end,SourceLine/12/_startBytecode,SourceLine/12/_endBytecode,SourceLine/12/_sourcefile,SourceLine/12/_sourcepath,SourceLine/12/_relSourcepath,SourceLine/13/Message,SourceLine/13/_classname,SourceLine/13/_start,SourceLine/13/_end,SourceLine/13/_startBytecode,SourceLine/13/_endBytecode,SourceLine/13/_sourcefile,SourceLine/13/_sourcepath,SourceLine/13/_relSourcepath,SourceLine/14/Message,SourceLine/14/_classname,SourceLine/14/_start,SourceLine/14/_end,SourceLine/14/_startBytecode,SourceLine/14/_endBytecode,SourceLine/14/_sourcefile,SourceLine/14/_sourcepath,SourceLine/14/_relSourcepath,SourceLine/15/Message,SourceLine/15/_classname,SourceLine/15/_start,SourceLine/15/_end,SourceLine/15/_startBytecode,SourceLine/15/_endBytecode,SourceLine/15/_sourcefile,SourceLine/15/_sourcepath,SourceLine/15/_relSourcepath,SourceLine/16/Message,SourceLine/16/_classname,SourceLine/16/_start,SourceLine/16/_end,SourceLine/16/_startBytecode,SourceLine/16/_endBytecode,SourceLine/16/_sourcefile,SourceLine/16/_sourcepath,SourceLine/16/_relSourcepath,SourceLine/17/Message,SourceLine/17/_classname,SourceLine/17/_start,SourceLine/17/_end,SourceLine/17/_startBytecode,SourceLine/17/_endBytecode,SourceLine/17/_sourcefile,SourceLine/17/_sourcepath,SourceLine/17/_relSourcepath,SourceLine/18/Message,SourceLine/18/_classname,SourceLine/18/_start,SourceLine/18/_end,SourceLine/18/_startBytecode,SourceLine/18/_endBytecode,SourceLine/18/_sourcefile,SourceLine/18/_sourcepath,SourceLine/18/_relSourcepath,SourceLine/19/Message,SourceLine/19/_classname,SourceLine/19/_start,SourceLine/19/_end,SourceLine/19/_startBytecode,SourceLine/19/_endBytecode,SourceLine/19/_sourcefile,SourceLine/19/_sourcepath,SourceLine/19/_relSourcepath,SourceLine/20/Message,SourceLine/20/_classname,SourceLine/20/_start,SourceLine/20/_end,SourceLine/20/_startBytecode,SourceLine/20/_endBytecode,SourceLine/20/_sourcefile,SourceLine/20/_sourcepath,SourceLine/20/_relSourcepath
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In JournalToolTest.java,alluxio.client.cli.JournalToolTest,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,In class alluxio.client.cli.JournalToolTest,alluxio.client.cli.JournalToolTest,true,alluxio.client.cli.JournalToolTest,272,276,0,119,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,In method alluxio.client.cli.JournalToolTest.assertNonemptyDirExists(String),alluxio.client.cli.JournalToolTest,assertNonemptyDirExists,(Ljava/lang/String;)V,false,true,At JournalToolTest.java:[line 272],alluxio.client.cli.JournalToolTest,true,272,272,5,5,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,Sink method File(...),File(...),Sink method,Method usage not detected,not detected,Method usage,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,c4f9f7df87004ac6ef53ba3b345cf7bd,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In JournalToolTest.java,alluxio.client.cli.JournalToolTest,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,In class alluxio.client.cli.JournalToolTest,alluxio.client.cli.JournalToolTest,true,alluxio.client.cli.JournalToolTest,265,269,0,118,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,In method alluxio.client.cli.JournalToolTest.assertNonemptyFileExists(String),alluxio.client.cli.JournalToolTest,assertNonemptyFileExists,(Ljava/lang/String;)V,false,true,At JournalToolTest.java:[line 265],alluxio.client.cli.JournalToolTest,true,265,265,5,5,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,8bfc8b4112d86c4f7f55eddec74cbaa2,0,0,22,At JournalToolTest.java:[line 103],alluxio.client.cli.JournalToolTest,103,103,70,70,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 119],alluxio.client.cli.JournalToolTest,119,119,93,93,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 140],alluxio.client.cli.JournalToolTest,140,140,229,229,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 141],alluxio.client.cli.JournalToolTest,141,141,239,239,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 144],alluxio.client.cli.JournalToolTest,144,144,317,317,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 177],alluxio.client.cli.JournalToolTest,177,177,256,256,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 178],alluxio.client.cli.JournalToolTest,178,178,253,253,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 181],alluxio.client.cli.JournalToolTest,181,181,339,339,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 191],alluxio.client.cli.JournalToolTest,191,191,50,50,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,At JournalToolTest.java:[line 192],alluxio.client.cli.JournalToolTest,192,192,47,47,JournalToolTest.java,alluxio/client/cli/JournalToolTest.java,test\java\alluxio\client\cli\JournalToolTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In AbstractFileSystemShellTest.java,alluxio.client.cli.fs.AbstractFileSystemShellTest,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,In class alluxio.client.cli.fs.AbstractFileSystemShellTest,alluxio.client.cli.fs.AbstractFileSystemShellTest,true,alluxio.client.cli.fs.AbstractFileSystemShellTest,159,165,0,172,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,"In method alluxio.client.cli.fs.AbstractFileSystemShellTest.fileReadTest(String, int)",alluxio.client.cli.fs.AbstractFileSystemShellTest,fileReadTest,(Ljava/lang/String;I)V,false,true,At AbstractFileSystemShellTest.java:[line 159],alluxio.client.cli.fs.AbstractFileSystemShellTest,true,159,159,15,15,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,3d94dce115761ce7bc5eef4bcd4347bd,0,0,22,At AbstractFileSystemShellTest.java:[line 159],alluxio.client.cli.fs.AbstractFileSystemShellTest,159,159,12,12,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In AbstractFileSystemShellTest.java,alluxio.client.cli.fs.AbstractFileSystemShellTest,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,In class alluxio.client.cli.fs.AbstractFileSystemShellTest,alluxio.client.cli.fs.AbstractFileSystemShellTest,true,alluxio.client.cli.fs.AbstractFileSystemShellTest,177,182,0,161,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,"In method alluxio.client.cli.fs.AbstractFileSystemShellTest.generateFileContent(String, byte[])",alluxio.client.cli.fs.AbstractFileSystemShellTest,generateFileContent,(Ljava/lang/String;[B)Ljava/io/File;,false,true,At AbstractFileSystemShellTest.java:[line 177],alluxio.client.cli.fs.AbstractFileSystemShellTest,true,177,177,28,28,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,87e414c1aa0abfcc7cda5a746d190b2b,0,0,22,At AbstractFileSystemShellTest.java:[line 177],alluxio.client.cli.fs.AbstractFileSystemShellTest,177,177,25,25,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In AbstractFileSystemShellTest.java,alluxio.client.cli.fs.AbstractFileSystemShellTest,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,In class alluxio.client.cli.fs.AbstractFileSystemShellTest,alluxio.client.cli.fs.AbstractFileSystemShellTest,true,alluxio.client.cli.fs.AbstractFileSystemShellTest,195,200,0,138,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,"In method alluxio.client.cli.fs.AbstractFileSystemShellTest.generateRelativeFileContent(String, byte[])",alluxio.client.cli.fs.AbstractFileSystemShellTest,generateRelativeFileContent,(Ljava/lang/String;[B)Ljava/io/File;,false,true,At AbstractFileSystemShellTest.java:[line 195],alluxio.client.cli.fs.AbstractFileSystemShellTest,true,195,195,5,5,AbstractFileSystemShellTest.java,alluxio/client/cli/fs/AbstractFileSystemShellTest.java,test\java\alluxio\client\cli\fs\AbstractFileSystemShellTest.java,Sink method File(...),File(...),Sink method,Method usage not detected,not detected,Method usage,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,acac352b77053d694ea4a1175ca43cdd,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtilsTest.java,alluxio.client.cli.fs.FileSystemShellUtilsTest,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In class alluxio.client.cli.fs.FileSystemShellUtilsTest,alluxio.client.cli.fs.FileSystemShellUtilsTest,true,alluxio.client.cli.fs.FileSystemShellUtilsTest,167,177,0,389,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In method alluxio.client.cli.fs.FileSystemShellUtilsTest.resetLocalFileHierarchy(LocalAlluxioCluster),alluxio.client.cli.fs.FileSystemShellUtilsTest,resetLocalFileHierarchy,(Lalluxio/master/LocalAlluxioCluster;)Ljava/lang/String;,true,true,At FileSystemShellUtilsTest.java:[line 167],alluxio.client.cli.fs.FileSystemShellUtilsTest,true,167,167,26,26,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,305bf774c6c4dd8d0716596b4af73640,0,7,22,At FileSystemShellUtilsTest.java:[line 167],alluxio.client.cli.fs.FileSystemShellUtilsTest,167,167,23,23,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtilsTest.java,alluxio.client.cli.fs.FileSystemShellUtilsTest,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In class alluxio.client.cli.fs.FileSystemShellUtilsTest,alluxio.client.cli.fs.FileSystemShellUtilsTest,true,alluxio.client.cli.fs.FileSystemShellUtilsTest,167,177,0,389,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In method alluxio.client.cli.fs.FileSystemShellUtilsTest.resetLocalFileHierarchy(LocalAlluxioCluster),alluxio.client.cli.fs.FileSystemShellUtilsTest,resetLocalFileHierarchy,(Lalluxio/master/LocalAlluxioCluster;)Ljava/lang/String;,true,true,At FileSystemShellUtilsTest.java:[line 168],alluxio.client.cli.fs.FileSystemShellUtilsTest,true,168,168,58,58,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,305bf774c6c4dd8d0716596b4af73640,1,7,22,At FileSystemShellUtilsTest.java:[line 168],alluxio.client.cli.fs.FileSystemShellUtilsTest,168,168,55,55,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtilsTest.java,alluxio.client.cli.fs.FileSystemShellUtilsTest,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In class alluxio.client.cli.fs.FileSystemShellUtilsTest,alluxio.client.cli.fs.FileSystemShellUtilsTest,true,alluxio.client.cli.fs.FileSystemShellUtilsTest,167,177,0,389,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In method alluxio.client.cli.fs.FileSystemShellUtilsTest.resetLocalFileHierarchy(LocalAlluxioCluster),alluxio.client.cli.fs.FileSystemShellUtilsTest,resetLocalFileHierarchy,(Lalluxio/master/LocalAlluxioCluster;)Ljava/lang/String;,true,true,At FileSystemShellUtilsTest.java:[line 169],alluxio.client.cli.fs.FileSystemShellUtilsTest,true,169,169,96,96,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,305bf774c6c4dd8d0716596b4af73640,2,7,22,At FileSystemShellUtilsTest.java:[line 169],alluxio.client.cli.fs.FileSystemShellUtilsTest,169,169,93,93,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtilsTest.java,alluxio.client.cli.fs.FileSystemShellUtilsTest,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In class alluxio.client.cli.fs.FileSystemShellUtilsTest,alluxio.client.cli.fs.FileSystemShellUtilsTest,true,alluxio.client.cli.fs.FileSystemShellUtilsTest,167,177,0,389,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In method alluxio.client.cli.fs.FileSystemShellUtilsTest.resetLocalFileHierarchy(LocalAlluxioCluster),alluxio.client.cli.fs.FileSystemShellUtilsTest,resetLocalFileHierarchy,(Lalluxio/master/LocalAlluxioCluster;)Ljava/lang/String;,true,true,At FileSystemShellUtilsTest.java:[line 170],alluxio.client.cli.fs.FileSystemShellUtilsTest,true,170,170,134,134,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,305bf774c6c4dd8d0716596b4af73640,3,7,22,At FileSystemShellUtilsTest.java:[line 170],alluxio.client.cli.fs.FileSystemShellUtilsTest,170,170,131,131,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtilsTest.java,alluxio.client.cli.fs.FileSystemShellUtilsTest,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In class alluxio.client.cli.fs.FileSystemShellUtilsTest,alluxio.client.cli.fs.FileSystemShellUtilsTest,true,alluxio.client.cli.fs.FileSystemShellUtilsTest,167,177,0,389,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,In method alluxio.client.cli.fs.FileSystemShellUtilsTest.resetLocalFileHierarchy(LocalAlluxioCluster),alluxio.client.cli.fs.FileSystemShellUtilsTest,resetLocalFileHierarchy,(Lalluxio/master/LocalAlluxioCluster;)Ljava/lang/String;,true,true,At FileSystemShellUtilsTest.java:[line 172],alluxio.client.cli.fs.FileSystemShellUtilsTest,true,172,172,172,172,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,Sink method File(...),File(...),Sink method,,,,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,305bf774c6c4dd8d0716596b4af73640,4,7,22,At FileSystemShellUtilsTest.java:[line 172],alluxio.client.cli.fs.FileSystemShellUtilsTest,172,172,169,169,FileSystemShellUtilsTest.java,alluxio/client/cli/fs/FileSystemShellUtilsTest.java,test\java\alluxio\client\cli\fs\FileSystemShellUtilsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
