ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/0/_synthetic,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CheTestAuthServiceClient.java,org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,CheTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/CheTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\CheTestAuthServiceClient.java,In class org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,true,org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,45,50,0,178,CheTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/CheTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\CheTestAuthServiceClient.java,In method org.eclipse.che.selenium.core.client.CheTestAuthServiceClient.logout(String),org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,logout,(Ljava/lang/String;)V,false,true,At CheTestAuthServiceClient.java:[line 48],org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,true,48,48,60,60,CheTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/CheTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\CheTestAuthServiceClient.java,At CheTestAuthServiceClient.java:[line 48],org.eclipse.che.selenium.core.client.CheTestAuthServiceClient,48,48,56,56,CheTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/CheTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\CheTestAuthServiceClient.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,553751578d21095cf159f938958ad00f,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In KeycloakTestAuthServiceClient.java,org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,In class org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,true,org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,67,71,0,144,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,In method org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient.logout(String),org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,logout,(Ljava/lang/String;)V,false,true,At KeycloakTestAuthServiceClient.java:[line 69],org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,true,69,69,32,32,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,At KeycloakTestAuthServiceClient.java:[line 69],org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,69,69,28,28,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,23625ceff420fa30abdb1fd5c86cd482,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In KeycloakTestAuthServiceClient.java,org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,In class org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,true,org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,86,135,0,878,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,"In method org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient.requestToken(String, List)",org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,requestToken,(Ljava/lang/String;Ljava/util/List;)Lorg/eclipse/che/selenium/core/client/keycloak/KeycloakToken;,false,true,At KeycloakTestAuthServiceClient.java:[line 129],org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,true,129,129,343,343,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,At KeycloakTestAuthServiceClient.java:[line 129],org.eclipse.che.selenium.core.client.keycloak.KeycloakTestAuthServiceClient,129,129,338,338,KeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/KeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\KeycloakTestAuthServiceClient.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bc8cd380da933515eec04ec7ec81b29b,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In OsioKeycloakTestAuthServiceClient.java,org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,OsioKeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/OsioKeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\OsioKeycloakTestAuthServiceClient.java,In class org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,true,org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,110,151,0,690,OsioKeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/OsioKeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\OsioKeycloakTestAuthServiceClient.java,In method org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient.refreshRequest(KeycloakToken),org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,refreshRequest,(Lorg/eclipse/che/selenium/core/client/keycloak/KeycloakToken;)Lorg/eclipse/che/selenium/core/client/keycloak/KeycloakToken;,false,true,At OsioKeycloakTestAuthServiceClient.java:[line 144],org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,true,144,144,269,269,OsioKeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/OsioKeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\OsioKeycloakTestAuthServiceClient.java,At OsioKeycloakTestAuthServiceClient.java:[line 144],org.eclipse.che.selenium.core.client.keycloak.OsioKeycloakTestAuthServiceClient,144,144,264,264,OsioKeycloakTestAuthServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/OsioKeycloakTestAuthServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\OsioKeycloakTestAuthServiceClient.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5414605b10e66a6e0818813d3ce5a797,0,0,117,,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TestKeycloakSettingsServiceClient.java,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,In class org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,true,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,81,81,0,62,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,"In method org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1.checkClientTrusted(X509Certificate[], String)",org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,checkClientTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At TestKeycloakSettingsServiceClient.java:[line 81],org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,,81,81,0,62,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,9faa123ecde8f150a921307ee13b25cc,0,0,295,true,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TestKeycloakSettingsServiceClient.java,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,In class org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,true,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,83,83,0,62,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,"In method org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1.checkServerTrusted(X509Certificate[], String)",org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,checkServerTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At TestKeycloakSettingsServiceClient.java:[line 83],org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,,83,83,0,62,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,a899072ea3251b218878cd074eee034d,0,0,295,true,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TestKeycloakSettingsServiceClient.java,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,In class org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,true,org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,78,78,0,43,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,In method org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1.getAcceptedIssuers(),org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,getAcceptedIssuers,()[Ljava/security/cert/X509Certificate;,false,true,At TestKeycloakSettingsServiceClient.java:[line 78],org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient$1,,78,78,0,43,TestKeycloakSettingsServiceClient.java,org/eclipse/che/selenium/core/client/keycloak/TestKeycloakSettingsServiceClient.java,org\eclipse\che\selenium\core\client\keycloak\TestKeycloakSettingsServiceClient.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,93876f00dfcc27297c14b4579e3f1f32,0,0,295,true,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In KeycloakCliClient.java,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,In class org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,true,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,78,87,0,224,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,In method org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient.createDefaultUser(RemovableUserProvider),org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,createDefaultUser,(Lorg/eclipse/che/selenium/core/provider/RemovableUserProvider;)Lorg/eclipse/che/selenium/core/user/DefaultTestUser;,false,true,At KeycloakCliClient.java:[line 85],org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,true,85,85,74,74,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,At KeycloakCliClient.java:[line 83],org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,83,83,60,60,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bd2d5de154edf4e44ebca71c68aee330,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In KeycloakCliClient.java,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,In class org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,true,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,64,73,0,221,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,In method org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient.createUser(RemovableUserProvider),org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,createUser,(Lorg/eclipse/che/selenium/core/provider/RemovableUserProvider;)Lorg/eclipse/che/selenium/core/user/TestUserImpl;,false,true,At KeycloakCliClient.java:[line 71],org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,true,71,71,74,74,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,At KeycloakCliClient.java:[line 69],org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,69,69,60,60,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c82c831302a55b8990f6fbb80b22a05e,0,0,117,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In KeycloakCliClient.java,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,In class org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,true,org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,163,175,0,183,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,"In method org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient.delete(String, String)",org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,delete,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At KeycloakCliClient.java:[line 174],org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,true,174,174,78,78,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,At KeycloakCliClient.java:[line 148],org.eclipse.che.selenium.core.client.keycloak.cli.KeycloakCliClient,148,148,13,13,KeycloakCliClient.java,org/eclipse/che/selenium/core/client/keycloak/cli/KeycloakCliClient.java,org\eclipse\che\selenium\core\client\keycloak\cli\KeycloakCliClient.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ec305f956c84edcd378401aace6c0c8e,0,0,117,,,,
