ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,SourceLine/8/Message,SourceLine/8/_classname,SourceLine/8/_start,SourceLine/8/_end,SourceLine/8/_startBytecode,SourceLine/8/_endBytecode,SourceLine/8/_sourcefile,SourceLine/8/_sourcepath,SourceLine/8/_relSourcepath,SourceLine/9/Message,SourceLine/9/_classname,SourceLine/9/_start,SourceLine/9/_end,SourceLine/9/_startBytecode,SourceLine/9/_endBytecode,SourceLine/9/_sourcefile,SourceLine/9/_sourcepath,SourceLine/9/_relSourcepath,SourceLine/10/Message,SourceLine/10/_classname,SourceLine/10/_start,SourceLine/10/_end,SourceLine/10/_startBytecode,SourceLine/10/_endBytecode,SourceLine/10/_sourcefile,SourceLine/10/_sourcepath,SourceLine/10/_relSourcepath,String/1/Message,String/1/_value,String/1/_role,SourceLine/1/_primary
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 264],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,264,264,126,126,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 264],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,264,264,123,123,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,0,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 272],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,272,272,186,186,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 272],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,272,272,183,183,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,1,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 276],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,276,276,252,252,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 276],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,276,276,249,249,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,2,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 289],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,289,289,388,388,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 289],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,289,289,385,385,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,3,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 297],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,297,297,465,465,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 297],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,297,297,462,462,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,4,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 308],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,308,308,608,608,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 308],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,308,308,605,605,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d2d4ac030d43dc007789bffbe5d7198f,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 328],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,328,328,869,869,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 328],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,328,328,866,866,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,5,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 333],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,333,333,942,942,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 333],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,333,333,939,939,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,6,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,254,343,0,1686,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(DeploymentPlan, ServiceOffering, VMTemplateVO, DeploymentPlanner$ExcludeList, List, int, boolean, Account)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/offering/ServiceOffering;Lcom/cloud/storage/VMTemplateVO;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;Ljava/util/List;IZLcom/cloud/user/Account;)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 340],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,340,340,1002,1002,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 340],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,340,340,999,999,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2fed4bf1b931d71914c99dd2c0670f58,7,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In FirstFitAllocator.java,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,In class com.cloud.agent.manager.allocator.impl.FirstFitAllocator,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,com.cloud.agent.manager.allocator.impl.FirstFitAllocator,110,187,0,1291,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,"In method com.cloud.agent.manager.allocator.impl.FirstFitAllocator.allocateTo(VirtualMachineProfile, DeploymentPlan, Host$Type, DeploymentPlanner$ExcludeList, int, boolean)",com.cloud.agent.manager.allocator.impl.FirstFitAllocator,allocateTo,(Lcom/cloud/vm/VirtualMachineProfile;Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/host/Host$Type;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;IZ)Ljava/util/List;,false,true,At FirstFitAllocator.java:[line 123],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,true,123,123,118,118,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,At FirstFitAllocator.java:[line 123],com.cloud.agent.manager.allocator.impl.FirstFitAllocator,123,123,115,115,FirstFitAllocator.java,com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,java/com/cloud/agent/manager/allocator/impl/FirstFitAllocator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,13193971e2e26ff033adc84e8d341c1b,0,5,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
